place_name	word1	word2	word3	word4	word5	word6	word7	word8	word9	word10
Manhattan, NY	new	york	nyc	newyork	job	hiring	amp	park	square	careerarc
Los Angeles, CA	los	angeles	job	hiring	losangeles	california	jobs	hollywood	amp	careerarc
Chicago, IL	chicago	job	hiring	jobs	careerarc	illinois	amp	just	latest	great
Houston, TX	houston	job	hiring	jobs	careerarc	latest	nursing	traffic	click	opening
San Francisco, CA	san	francisco	sanfrancisco	job	hiring	jobs	california	careerarc	request	amp
Washington, DC	washington	job	hiring	trndnl	https://t.co/ivleifbyxy	jobs	careerarc	trends	2015	amp
Philadelphia, PA	philadelphia	job	hiring	just	philly	amp	pennsylvania	jobs	careerarc	photo
Atlanta, GA	atlanta	job	hiring	jobs	careerarc	georgia	amp	latest	just	great
Orlando, FL	orlando	orlpol	opd	amp	job	ave	hiring	edc	blvd	jobs
Brooklyn, NY	brooklyn	new	amp	york	job	nyc	just	park	hiring	williamsburg
